access,addr:city,addr:country,addr:district,addr:floor,addr:full,addr:housenumber,addr:place,addr:postcode,addr:province,addr:street,amenity,bicycle,branch,brand,brand:en,brand:wikidata,brand:wikipedia,capacity,capacity:motorcar,charging,charging_station:battery_swapping,construction,covered,description,fee,fuel:octane_92,fuel:octane_95,fuel:octane_98,layer,level,mobile_phones,moped,motorcar,motorcycle,name,name:en,name:ja,name:zh,netbook,network,note,opening_hours,operator,operator:wikidata,operator:wikipedia,parking:fee,payment:app,phone,postal_code,ref,scooter,short_name,socket,socket:j1772,socket:tesla_supercharger,socket:tesla_supercharger:output,socket:type1,socket:type1:output,socket:type2_combo,socket:type2_combo:output,truck,voltage,website,wheelchair,longitude,latitude
,臺南市,,,,,,,,,,charging_station,,,台塑石油,,,,,,,,,,,,yes,yes,yes,,,,,,,Gogoro 換電站 台亞大同路加油站,,,,,,,24/7,,,,,,+88662139975,,,,,,,,,,,,,,,,no,120.2115564,22.9828468
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4479064,25.0642445
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7803173,24.2749748
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,充電室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.5397166,24.0858833
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.4529721,25.0445786
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5370166,24.960521
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,BES電池交換站,,,,,,,,台灣城市動力,,,,,,,,yes,,,,,,,,,,,,,,121.4653747,25.0167771
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,電動車充電站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.1923304,24.8003452
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,板橋後站,,,,,BES 電池交換站,,,台灣城市動力股份有限公司,,,,,,,,yes,,,,,,,,,,,,,,121.4586405,25.0073178
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,BES電池交換站 有利站,,,,,,,,台灣城市動力股份有限公司,,,,,,,17,yes,,,,,,,,,,,,http://www.citypower.com.tw/,,121.4203508,24.9811464
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,BES電池交換站 板橋體育館站,,,,,,,,台灣城市動力股份有限公司,,,,,,,,yes,,,,,,,,,,,,http://www.citypower.com.tw/stations/15,,121.4563526,25.0130345
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,BES電池交換站 和平公園站,,,,,,,,台灣城市動力股份有限公司,,,,,,,,,,,,,,,,,,,,http://www.citypower.com.tw/stations/7,,121.4643381,24.9975666
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Gogoro GoStation 中油山隆樹林站,,,,,,,,睿能創意股份有限公司,,,,,,,,yes,,,,,,,,,,,,,,121.4202873,24.9819775
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.6752218,24.1209534
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 中油北基基金站,Go Station,,Go Station 換電站 - 中油北基基金站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.6498532,25.2093658
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 中油石門加油站,Go Station,,Go Station 換電站 - 中油石門加油站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5614161,25.2912061
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 大嘉好加油站,Go Station,,Go Station 換電站 - 大嘉好加油站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.4777053,25.2598491
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 中油淡海新市鎮站,Go Station,,Go Station 換電站 - 中油淡海新市鎮站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.446183,25.1918801
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 台亞承德路站,Go Station,,Go Station 換電站 - 台亞承德路站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5039192,25.116414
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 中油陽明山站,Go Station,,Go Station 換電站 - 中油陽明山站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5457734,25.1353594
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 中油福林站,Go Station,,Go Station 換電站 - 中油福林站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5271774,25.0924569
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站 - 禾悅生活士林店,Go Station,,Go Station 換電站 - 禾悅生活士林店,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5222022,25.0884212
,,,,,,,,,,,charging_station,,Gogoro 士林店,,,,,,,,,,,,,,,,,,,,,,Go Station 換電站,Go Station,,Go Station 換電站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5257407,25.0873241
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Go Station - 孚海國際車業站,Go Station,,Go Station - 孚海國際車業站,,,,,Gogoro Inc.,,,,,,,,,,,,,,,,,,,,,,121.5108481,25.0856256
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,Gogoro GoStation 中油永錡彭厝站,,,,,,,,睿能創意股份有限公司,,,,,,,,yes,,,,,,,,,,,,,,121.4156235,24.9717966
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.7196062,24.1252442
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台中市電動機車充電站,,,,,,,,,,,,,,,,,,,,,,,,,120.6650434,24.1493999
,臺北市,TW,中正區,,,165,,100,,中華路二段,charging_station,,,,,,,,,,,,,,,,,,,,,,,,gogoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.5042186,25.0308252
,,,,,,,,,,,charging_station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EZ Swap,,,,,,,,,,,,,,,,,,,,,,118.317326,24.4325657
,新北市,TW,樹林區,,,50,,238,,三興路,charging_station,,,,,,,,,,,,,,,,,,,,,,,,GoStation 中油大慶加油站,,,,,,,,gogoro,,,,,,,,,,,,,,,,,,,,,,121.3952173,25.01457
,,,,,,,,,,,charging_station,,基隆東岸地下停車場站,Gogoro 電池交換站,,Q19880591,,,,,,,,電池交換站位於地下一樓的機車停車場區域,,,,,,-1,,,,,Gogoro 電池交換站,,,,,,,,Gogoro 電池交換站,Q19880591,,,,,,,,,,,,,,,,,,,,,121.7436973,25.1303539
